username,name,founder_url,company_link,title,time,location,company_id,com_name,com_description,com_vertical,com_industry,com_location,com_city,com_state,com_country,com_follower,com_employee,origin,founder,company,com_year
felixleezd,Felix Lee,https://www.linkedin.com/in/felixleezd/,https://www.linkedin.com/company/42779272/,"CEO, Co-founder",Apr 2021 - Present,San Francisco Bay Area,42779272,adplist.org,Democratizing mentorship for all.,Software Development,Professional Networking,"San Francisco, CA",San Francisco,California,United States,171K followers,2-10 employees,Singapore,[Felix Lee](https://www.linkedin.com/in/felixleezd/),[adplist.org](https://www.linkedin.com/company/42779272/),2021
melvinyuan,Melvin Yuan,https://www.linkedin.com/in/melvinyuan/,https://www.linkedin.com/company/91449154/,Founder & CEO,Apr 2023 - Present,"Palo Alto, California, United States",91449154,Stellar,"Everything you need to start, run and scale your company.",Financial Services,Professional services,,Palo Alto,California,United States,281 followers,11-50 employees,Singapore,[Melvin Yuan](https://www.linkedin.com/in/melvinyuan/),[Stellar](https://www.linkedin.com/company/91449154/),2023
marcel-tan,Marcel Tan,https://www.linkedin.com/in/marcel-tan/,https://www.linkedin.com/company/98855543/,Co-Founder,Nov 2023 - Present,"San Francisco, California, United States",98855543,Tusk,Generate unit and integration tests with AI,Software Development,AI,"San Francisco, California",San Francisco,California,United States,2K followers,2-10 employees,Singapore,[Marcel Tan](https://www.linkedin.com/in/marcel-tan/),[Tusk](https://www.linkedin.com/company/98855543/),2023
longdnguyen,Long Nguyen,https://www.linkedin.com/in/longdnguyen/,https://www.linkedin.com/company/18441753/,Co-Founder,2019 - Present,San Francisco Bay Area,18441753,Everfit.io,Take your Personal Training Business Online Today! Train and connect with clients wherever they are.,Wellness and Fitness Services,Healthtech,"San Francisco, CA",San Francisco,California,United States,6K followers,11-50 employees,Vietnam,[Long Nguyen](https://www.linkedin.com/in/longdnguyen/),[Everfit.io](https://www.linkedin.com/company/18441753/),2019
hongvuvan142,Vu Van,https://www.linkedin.com/in/hongvuvan142/,https://www.linkedin.com/company/6595974/,Co-founder & CEO,Jan 2016 - Present,San Francisco Bay Area,6595974,"ELSA, Corp",World's leading A.I. app in English speaking and communication,E-Learning Providers,Edtech,"San Francisco, CALIFORNIA",San Francisco,California,United States,38K followers,201-500 employees,Vietnam,[Vu Van](https://www.linkedin.com/in/hongvuvan142/),"[ELSA, Corp](https://www.linkedin.com/company/6595974/)",2016
ktran,Kenneth Tran,https://www.linkedin.com/in/ktran/,https://www.linkedin.com/company/42700737/,CTO,Jun 2020 - Present,"Seattle, Washington, United States",42700737,Koidra,Modernizing Industries with Intelligent Automation,Software Development,Industrial Tech,"Seattle, WA",Seattle,Washington,United States,4K followers,11-50 employees,Vietnam,[Kenneth Tran](https://www.linkedin.com/in/ktran/),[Koidra](https://www.linkedin.com/company/42700737/),2020
haiminh87,Minh Pham,https://www.linkedin.com/in/haiminh87/,https://www.linkedin.com/company/92698200/,Co-Founder & CEO,Apr 2023 - Present,San Francisco Bay Area,92698200,Invisible,The Invisible fabric of the AI-native world,"Technology, Information and Internet",AI,"Palo Alto, California",Palo Alto,California,United States,301 followers,11-50 employees,Vietnam,[Minh Pham](https://www.linkedin.com/in/haiminh87/),[Invisible](https://www.linkedin.com/company/92698200/),2023
kevmhuynh,Kevin Huynh,https://www.linkedin.com/in/kevmhuynh/,https://www.linkedin.com/company/77888618/,"Co-Founder, CEO",2020 - Present,"San Diego, California, United States",77888618,PiKNiK,Your American Data Storage Partner for Web 3.0,Software Development,Blockchain/Web3,"San Diego, CA",San Diego,California,United States,755 followers,11-50 employees,Vietnam,[Kevin Huynh](https://www.linkedin.com/in/kevmhuynh/),[PiKNiK](https://www.linkedin.com/company/77888618/),2020
mykael,Michael N.,https://www.linkedin.com/in/mykael/,https://www.linkedin.com/company/42684278/,Co-Founder,Apr 2020 - Present,"San Francisco, California, United States",42684278,Opus Match,AI-powered matching + branded mobile experiences for modern staffing firms.,Software Development,AI,"San Francisco, CA",San Francisco,California,United States,3K followers,11-50 employees,Vietnam,[Michael N.](https://www.linkedin.com/in/mykael/),[Opus Match](https://www.linkedin.com/company/42684278/),2020
andrewqluong,Andrew Luong,https://www.linkedin.com/in/andrewqluong/,https://www.linkedin.com/company/19260870/,Co-founder / CEO,Mar 2020 - Present,San Francisco Bay Area,19260870,Doorvest,"Unlock real-estate investing with Doorvest’s full service platform. We source, renovate, lease, and manage your property",Financial Services,Real Estate Tech,"San Francisco, CA",San Francisco,California,United States,4K followers,11-50 employees,Vietnam,[Andrew Luong](https://www.linkedin.com/in/andrewqluong/),[Doorvest](https://www.linkedin.com/company/19260870/),2020
